ROM Checksum	RA Checksum	CRC	Filename
759073299db51c855e26c691fb859c1d	82cccfd253d3524686644832c968a7aa	632267E8	flayy bird demo vertical bad.lnx
d531517122505f9cf45a9cd8a2eaa785	3a58e77f4ca47907f645f25d20e62ad1	D866F928	flayy bird tech demo.lnx
459addd45c2762c3222808c3826c0b00	459addd45c2762c3222808c3826c0b00	99C803BC	fractest0.bin.o
4ada00ae8607b2d42309d10ab6ccf518	4ada00ae8607b2d42309d10ab6ccf518	40904F3B	fractest2.bin.o
4307af448f439fc1052d90f2000beaee	4307af448f439fc1052d90f2000beaee	00CBFE86	fractest3.bin.o
bf15057649db9597cdfb8282a201c8f1	bf15057649db9597cdfb8282a201c8f1	27445728	fruitbasket_pal_8_83.o
7bfd6b21b6771196ac375adf531bd753	cd662fe149081ed5b6971edbfa916b7e	72BB981F	gameblogfr demo.lnx
b344ac0c8f1a5924a98edb862940d497	b736dcb8eee3f8390c0ea7b3e236a37b	E4B5E7EE	GameOfLife.lnx
73fbc98275890f806511449382fb81bf	73fbc98275890f806511449382fb81bf	8D1B79E1	gametest.o
c3f372990b0d534604018be4f7d86a9f	c3f372990b0d534604018be4f7d86a9f	6FB015FE	garci (2007)(Cooper).o
d5be9118bcb14243468001b08c4aa21a	d5be9118bcb14243468001b08c4aa21a	494CC568	gates of zendocon, the (euro, usa).lyx
0b572c0dfb938849eeec39b2c9583547	0b572c0dfb938849eeec39b2c9583547	7F0EC7AD	gauntlet - the third encounter (euro, usa).lyx
8615d637f81eb7940500bbcadea7fada	8815ea087af1aa89b4f7b65bd3cb8534	2DD0ECAB	Gauntlet 4-6-90.lnx
69480a274e4c11928f9ec70b8b724093	69480a274e4c11928f9ec70b8b724093	0D8140CF	gif pour lynx - cercle de feu.o
98780ec060e990501020e8c6bc22d421	98780ec060e990501020e8c6bc22d421	B5439896	gif pour lynx - galaxie.o
8b89f5585fb7ad4a580e1cac366fed5e	8b89f5585fb7ad4a580e1cac366fed5e	BE6F2738	gif pour lynx - la marche de l'alien.o
1eba5a17dde2d20779e14b1089e934f8	1eba5a17dde2d20779e14b1089e934f8	61107CF3	gif pour lynx - marche pas.o
8b6a0c76967928468196423c0462129d	8b6a0c76967928468196423c0462129d	4846F6DA	gif pour lynx - mickey.o
2aaa72581f878f08fe6db391fd94a82d	2aaa72581f878f08fe6db391fd94a82d	80F8D845	gif pour lynx - perdu.o
4946a013ee6ea0a9bd60cfcedaeb5d2e	4946a013ee6ea0a9bd60cfcedaeb5d2e	840A51A4	gif pour lynx - smurf.o
8943e317c135ea51d3f9ba9116fe7c20	8943e317c135ea51d3f9ba9116fe7c20	170A41F4	gif pour lynx - spirale.o
9b8240592a67898c06d7040e3856e871	9ff5fa01a6bcbee4cb489f01b29dd5e2	D02D0EA3	Glob Shoot 0.6.lnx
b2d69fde079abe8f4dc797be7dc145b5	53f1bac4bc89ce073b93ad26631dfa30	3C8ACDBA	Glob Shoot 0.61.lnx
d4ef1ab6f529ade6c7815d2b132387c6	a389c0f2aa23ee55e479a4a08627b391	28B0A691	Glob Shoot 0.62.lnx
481567830b4367a5c3e89e4ec731e279	481567830b4367a5c3e89e4ec731e279	C0B8B738	globshoot_0.0_test.o
53147e097d442d2bce947dab04ff2a00	53147e097d442d2bce947dab04ff2a00	B2D0C1D1	globshoot_0.2.o
b17979f66e1f780e794db7bdbdde3efd	a028190c8e34a757a51a0538dc8dfe6d	5B7BBD63	globshoot_0.3.o
a028190c8e34a757a51a0538dc8dfe6d	30bfd9f49ef41c0be55efb3585852b12	A4BEC102	globshoot_0.3_romeo0.1.o
30bfd9f49ef41c0be55efb3585852b12	b17979f66e1f780e794db7bdbdde3efd	7DCE9649	globshoot_0.3_romeo0.2.o
878985267ea1532c7a6939cb7ce0750d	878985267ea1532c7a6939cb7ce0750d	1B8F5475	globshoot_0.4.o
3bd4c6e767190405ad2d2f2ac3bd9fe9	3bd4c6e767190405ad2d2f2ac3bd9fe9	BF4C0BB4	globshoot_03.1.o
1676ab85ec4a881dc4abce882f614695	1676ab85ec4a881dc4abce882f614695	937106FE	globshoot_05.o
d54ff8e1150cb60e54d79d534fae458d	d54ff8e1150cb60e54d79d534fae458d	71C7087D	gnop 0.4SE.o
623354ec6da68ce483feb46063a98022	623354ec6da68ce483feb46063a98022	0087FE65	gnop 0.6.o
df631abdff388dfca76390804970073b	327ab0968fee7a926123a09bc9798db4	491D3B2C	gomoku_alpha.lnx
eb9b5b2b6160e5f3015bc2a669d886b6	eb9b5b2b6160e5f3015bc2a669d886b6	D20A85FC	gordo 106 - the mutated lab monkey (euro, usa).lyx
c88e5fa908278bc493daf3cdbfc6384f	c88e5fa908278bc493daf3cdbfc6384f	87EBBC37	GOTBALLS (O).o
0fbe259f695f630753c6f0fbaf3c73ab	70649fa14951f52c8a9f07bfdac44bb1	150DE159	gotballs.lnx
fb8b4f50bb7e20742c8bad2d1cb3efb6	fb8b4f50bb7e20742c8bad2d1cb3efb6	3C6C100D	gravitar physics techdemo.o
183ae833a6e5ebe4060ba3efbaef4da5	80b3d1d7e2816279cde50653d3275f63	573136D9	Great Classics cart.lnx
3b39c02712fbe02d47431c2f42eb1b15	3b39c02712fbe02d47431c2f42eb1b15	46687D65	gwc v2.o
114da41e9b301b3e4f25f5e36fb66077	114da41e9b301b3e4f25f5e36fb66077	D88F4B12	gwc.lyx
2e4065427aeede3fb1ce61711f6357d6	2e4065427aeede3fb1ce61711f6357d6	B1D50276	gwc.o
871a7e695d1dd5fcdf57bb9f243a8709	d850fd265bba0ae304aabfa8fe428f36	67A32363	gwn_demo.lnx
0cfea42b697a7c1522d0d7de44330d9a	acd11acc42286cc9eea1528252a39cee	06C67698	Haiku.lnx
2aa9e7a148c0a15fe187c06274c745e7	2aa9e7a148c0a15fe187c06274c745e7	85C2EA2B	Hallo Welt! (1996) by Bjoern Spruck (PD).o
ccd2e07e255be9e2a81f8fe197a2868d	ccd2e07e255be9e2a81f8fe197a2868d	CDB08EBC	Hallo Welt! 2 (1996) by Bjoern Spruck (PD).o
ef258eaafb56774f239edd92c29d5542	f4abc61e755a77967d800cfa2782a6e9	BD0FE8A2	handy demo 32by32 multiply.lnx
327bb1275d0bcf0876349da68b2d57f6	51037f92d8577fcfbe648696d34c23e7	1BA87A8B	handy demo unsigned divide.lnx
d1b13d437ac99cf7b78b63c2e4d43418	200ef46c45cc300a3b4e9db7312f4b18	1D60ED74	handy devkit math samples (multiply).lnx
c824c8d876445709302682269437917f	f2137ed083613e20a34421ac0e32d6aa	55C8A9D5	handy devkit music samples (arabtile).lnx
8003c3a447785eb3f6ca53adc8d548bc	8c123d5b96d3eafc4c626cb240721743	B434D06D	handy devkit music samples (bass).lnx
080a459088f6067a6a0712866ff2fbfb	9d214efed1c8e54432d98fd1e1969b10	A0B2FDDD	handy devkit music samples (bmx).lnx
