rom	md5	crc	v14
Bard's Tale, The (USA).nes	07d2c976ae73f453814761afb0d61551	73CEFBA7	a4309fa076ebeddcb28a25f53746d4dc
Barker Bill's Trick Shooting (USA).nes	9d68d6bf99fd9e3538e1007fcdf61e8e	C898E6C1	cb88b1dd1cfbffd839e3b0746a3b7ff6
Baseball (Japan).nes	a8e2ac71e23cb75779063c54fe6a3f97	F3381539	a3af0e6c0530116a9426e490c32933e0
Baseball (USA) (GameCube Edition).nes	fe884cbf3184fbacc9f89a66794c2cba	EC1A843D	f826f525be43e859336ef94e5a753a6e
Baseball (USA, Europe).nes	131e911f248cf42313184d3dbbd576db	2440233E	8cd81f8db0d70f177812a132670438bc
Baseball Simulator 1.000 (USA).nes	cdf5a1040fe782d6a308c495d6b6a0b1	469B04F6	28912b5b81a299bdca5db94270cbdcf6
Baseball Stars (USA).nes	8f665812b6bef91f73265ae1b5b35d73	1924F963	64a3047a680fb93e5c2d9586d94060de
Baseball Stars II (USA).nes	23b1bad46b3f6e5e0fd99607ece15909	104FABEE	f97c31bc9627f08417d39e06d2be4221
Bases Loaded (USA) (Rev A).nes	620afda829ccb6554bb1fdc853e6baf8	EF4F5903	ec053dbf6833dc7c44c4ebb7713a5c5d
Bases Loaded (USA) (Rev B).nes	31151054c5d6f9117f1f061ea42d14bc	5F1B9397	e58ced49bb2b24a022b7039f6901ec70
Bases Loaded 3 (USA).nes	b428872953d59c09ab44a2f20c96a3eb	1BDD1704	2a40a053b323fdb25a5f4042c43524b0
Bases Loaded 4 (USA).nes	e5d67ae037da22060116a14e8cffb0d1	0DEE9EC1	e42b179ef3721ec0776de7d53bb00220
Bases Loaded II - Second Season (USA).nes	ebfc61fedb56289e859b4d66f1825473	965B9A2F	044ff0cb07a19fcb80be41832a81e6c2
Batman (Japan).nes	a091c9ed79e98139e51937f48c2bcc73	15F9A645	a04066d0847d8ab49969ff3db0f36123
Batman - Return of the Joker (Europe).nes	76e4a4c9466bc7b8b4e97c34e2c81ed8	58944007	395a3594a3818f2b4363b5183ef61269
Batman - Return of the Joker (USA).nes	d229eab8a56783be1af66d1fec169f92	E14A7971	53c78cf68939090e51bf8f7ec01031e5
Batman - The Video Game (Europe).nes	68d67f65d99ca89f62a96f8d6c92e806	FA6406A4	7a4ffee9265b8af62f9dfcb938b20134
Batman - The Video Game (USA) (Beta 1).nes	87ccb4ffae82f46857c3b6f1f19914d4	ABF9D9EA	4b18a42d1cbf09979724230f266d415d
Batman - The Video Game (USA) (Beta 2).nes	92ca46003024011796d87a29e1977bf9	168751F8	c298ee017066f32b38b9cf3477ccd391
Batman - The Video Game (USA).nes	2e9f52556273aa735d0e75649541d812	395569EC	fbf2e70abc9f089765ff1b9a00a0a977
Batman Returns (USA).nes	1fe9c970c5c04aec359a833820718e6a	E625E398	7b0c3f8f1be24e9c2fcc59bd4c61a899
Batsu & Terry - Makyou no Tetsujin Race (Japan).nes	e427e36f287874df10150862cdca3e1b	CA80FA58	fbc46d607ee554c8388d2903138ce7ee
Battle Baseball (Japan).nes	874516026ae4fa27dca5c9ac366281f6	05914FE4	3bbcc229a6ff6cdc5d5a123f71fb0e84
Battle Chess (USA).nes	ee1f928bce67f09bdf17e580c0b31d7e	7DC49898	8a67c9a6da2a20e6808a7c82a4839474
Battle Fleet (Japan).nes	110893babb3186181c0d14ba7fab93e3	B3777EBE	7cf91e2d30197e450b69cff16efd111e
Battle Formula (Japan).nes	56c0fdc0da3ad1fa1ab101a47e7ac179	01DE883C	f44451b8b650b0737369867f95217327
Battle of Olympus, The (Europe).nes	99fdf4b85d42f87e7b3570048dbcddbe	7BB5F30D	abf97d9e3e1c97efd93fb90be6824e89
Battle of Olympus, The (USA).nes	021d505bd7f5ea9101c33171feebdf3a	B99394C3	fd643d07b01072a1376353bd37b1f8c6
Battle Stadium - Senbatsu Pro Yakyuu (Japan).nes	fa3d5115b3c9b029c7f647bcb4a82238	385DF23F	0a093eb8e4dfcc8d4f710f30ee3bb099
Battle Storm (Japan).nes	6d0abb0fa0758805dd107c91c53d89ec	E3841036	ca8f7a1406d156d2959726a408dbec59
BattleCity (Japan).nes	cd4fe2e78df0696dbe652f02c19541a1	F599A07E	b93eed6f211f4f405c57a42def346f74
Battleship (USA).nes	05493b63a01703c1388224360d526fa4	89D3BDBC	6f9f93a96635ca9f8021ed3a8b708003
Battletoads (Europe).nes	8b9e2b0389b745e4e59a7170198b4056	CF4C2E09	dbf8909b943ab0f7ed0f210ce85fafaf
Battletoads (Japan).nes	90dbb091e53eb13b7ae25d48154e80e9	0500BFBF	318d9c03fb183f6f8cd2fc89fdd0dbb2
Battletoads (USA).nes	bbafead19c25b38a5a129bb8c51aaf8d	BA9164E7	eefac97ac3b85048f3685e1623210efb
Battletoads-Double Dragon (Europe).nes	60b886ed1a481c1985ba10b0a80299df	BED1A0B4	9d82467a5c2a3138451f6dfe67f6848c
Battletoads-Double Dragon (USA).nes	35933222cf8658f7c6679fc7de630aaa	53B02F3D	728a4c80306dd3debb8ba90868376255
Be-Bop-Highschool - Koukousei Gokuraku Densetsu (Japan).nes	0d069b97a3a76b9038e49b2b441d00f7	464830A8	79e2c18ddfed496bdb69bb7af059b7ab
Beauty and the Beast (Europe).nes	b690e3ec5375bc4e33e7ffbdcaa42e89	E08A5881	4d1a1d05069a8932e7cc33581902f75a
Bee 52 (USA) (Unl).nes	c069c905796a4d1daabad5cdb4dca882	77A8486F	3602683fff8fc5b0dee5982422bc2d96
Beetlejuice (USA).nes	e2c5df63af6617474b3338f968a21ffb	1B2BAD13	36f9c268d5152085c914eb732392848e
Best of the Best - Championship Karate (USA).nes	ade36f8a4d8f4ae7acc2921d46b0973e	8B1ABBE2	e39ead8ebebfaca82c304eacda4b929a
Best Play Pro Yakyuu '90 (Japan).nes	3bd31f1b10f41ce48a91f444bad69fee	F2E14E97	9bd7a47497ec48091d600ccaa1c00ec5
Best Play Pro Yakyuu (Japan).nes	141a843d492e6d6ab863c7fca09aaaf2	B686EDC5	876350470b978c516a9a77d130ab5a5e
Best Play Pro Yakyuu II (Japan).nes	9493b573fdfa81ee6592b0f163f1209f	A740F2F5	5c9e9b42032e6fd7450c031718b9042b
Bible Adventures (USA) (Unl).nes	5d646646dfcf2a957185a01ab1a77889	761AD154	b55534502e3cf35ed690c1be11ea2573
Bible Adventures (USA) (v1.3) (Unl).nes	844fbd3d5f46143462b6e97669e20b02	45AB39CD	f45877789d9b3c8d0812f5c8f294a231
Bible Adventures (USA) (v1.4) (Unl).nes	4e5e60157e28ba0a9d536692af99fe87	5EB290AF	8c103454a8e54e49a4e97615fabfd82f
