ROM Checksum	RA Checksum	CRC	Filename
e3dc4fbb020783f843519c58f73b83de	e3dc4fbb020783f843519c58f73b83de	A1FF5CD5	Fighter V.2 Demo (2000) (PD).lnx
2375b91a6675f7ef3a7daf6bcf59a5a1	2375b91a6675f7ef3a7daf6bcf59a5a1	D96877D9	Fire (Fever) Demo by Bastian Schick (1997) (PD).lnx
b7c114f26f559c2ada474ac6d3a5d9d3	b7c114f26f559c2ada474ac6d3a5d9d3	52C9E5A3	Font Test 2 by Bastian Schick (199x) (PD) [a1].lnx
a50eed98c3ef04ebf376a77d1ed8c94a	a50eed98c3ef04ebf376a77d1ed8c94a	9FB5FF3A	Font Test 2 by Bastian Schick (199x) (PD).lnx
991e0d31c8f7c8ef06e5b8f906c3d2f3	ea58774d1a9fe45b60c7afe638ecd91e	42DFE400	Gates of Zendocon, The (1989) [o1].lnx
1dda01b595589960565596fd0f9d9c29	d5be9118bcb14243468001b08c4aa21a	D852DBA7	Gates of Zendocon, The (1989).lnx
5e841dc1dbb66ff5fe2e4ee7e46d1846	4556a797a2d7ee2567ac20d4fa601e07	C3497FB2	Gauntlet - The Third Encounter (1990) [o1].lnx
eff19cbc469f7f902527aeba56b4f93b	0b572c0dfb938849eeec39b2c9583547	8E0908E5	Gauntlet - The Third Encounter (1990).lnx
c8dd02d14cef3589d3a60086f9f40eed	c8dd02d14cef3589d3a60086f9f40eed	23930CD6	Ghouls 'n' Ghosts Plus V.2 Demo (199x) (PD).lnx
aa530811882603711445fa6a827e1f98	2783d81849f425fac6af3cbb14910dbe	ABB60103	Gordo 106 - The Mutated Lab Monkey (1993) [b1].lnx
51e9b05d0f0a4a68ade1671e302571cf	545b9fb7a49913a70e4717fb91b6a1e7	CEA6795B	Gordo 106 - The Mutated Lab Monkey (1993) [b2].lnx
d6c5f4fa22ad79fdfd27ab9408cca59f	eb9b5b2b6160e5f3015bc2a669d886b6	0671ACEA	Gordo 106 - The Mutated Lab Monkey (1993).lnx
a041728c56d72d1157f33d75416945be	434443ac0baaef6d6bdc3736dd1b1b51	2F20BAC7	Hard Drivin' (1993) [o1].lnx
4a8897d6930fb61f7ca3af4b7272dad4	c265f0de8c5bd77db8f9cf5a1f7ab68f	9ADD0861	Hard Drivin' (1993).lnx
c8cf4d3f657c3834a7adec98865ba2a9	eec9367841bef91acf925aa4ca07ed0c	5670704B	Hockey (1992) [b1].lnx
68bf8d696e577d9c28cb481d2a9823f9	a08b8070ad613bdb2637162b3bf39574	0904A4D9	Hockey (1992).lnx
eef165f39c9efd552a12a8503d7e75f5	f6cf4ae4b12306352b6327b8b9afcc8d	D2CEC8C7	Hydra (1992) [b1].lnx
8ba407b682e0bb9471cfe1e28983b9cc	76a48869c14fbcf85588001a1327253d	8980A322	Hydra (1992).lnx
5c33dce9ba2d4681aaec8efe7811e8d7	5c33dce9ba2d4681aaec8efe7811e8d7	0A6C3580	I2C EEPROM Test by Bastian Schick (1996) (PD).lnx
f2caf9c3b741d5da5bd931d5279d2bba	f2caf9c3b741d5da5bd931d5279d2bba	D000F7BA	Insert Game Screen by Bastian Schick (199x) (PD).lnx
edf407a03b04085e139316e9e9a78bc0	edf407a03b04085e139316e9e9a78bc0	321E3CCD	IRQ Test by Bastian Schick (1998) (PD) [a1].lnx
c7efc9e4a9162cdfecb1e4c939c186f1	c7efc9e4a9162cdfecb1e4c939c186f1	5BF248E6	IRQ Test by Bastian Schick (1998) (PD).lnx
8064ca0f12b6fad96ecd7147bc595620	8cb9c6d4fc28e17be17be64d06c91909	7C58AEA4	Ishido - The Way of the Stones (1991) [o1].lnx
3df23a124186053836419abe6d87a8c0	addc6c0ae7b535839815b8e7f7fd0f11	4AA0E0B9	Ishido - The Way of the Stones (1991).lnx
99eb48b7099df1509e86657b07ce496f	443e79a061c4f8ba38568c1341ae6018	AEBEE319	Jimmy Conners Tennis (1991) [b1].lnx
